"Spec","Window","WindowLabel","Scenario","LatentClass","Class","OriginalClassLabel","NClass","Harmonized_Family_ID","Display_Label","Adversity_Order","Retained_Reference_Class","Mapping_Status","Mapping_Basis","Color_Name","Color_Hex"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",7,"Class 7","Class 7",916,"JMAES_ML2","Low Maternal Absence, Improving SES",2,"Class 7","Anchor branch","Class from the selected anchor branch for this model-window.","improvement-teal-alt","#009E73"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",4,"Class 4","Class 4",998,"JMAES_ML3","Low Maternal Absence, Low SES",3,"Class 4","Anchor branch","Class from the selected anchor branch for this model-window.","persistent-moderate-rose-alt","#CC79A7"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",3,"Class 3","Class 3",222,"JMAES_ML4","Decreasing Maternal Absence, Low SES",4,"Class 3","Anchor branch","Class from the selected anchor branch for this model-window.","partial-improvement-blue-alt","#0072B2"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",5,"Class 5","Class 5",273,"JMAES_ML5","Rising Maternal Absence, Improving SES",5,"Class 5","Anchor branch","Class from the selected anchor branch for this model-window.","rising-adversity-coral-alt","#F46D43"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",8,"Class 8","Class 8",312,"JMAES_ML6","High Maternal Absence, Higher SES",6,"Class 8","Anchor branch","Class from the selected anchor branch for this model-window.","persistent-high-adversity-plum-alt","#AA3377"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",1,"Class 1","Class 1",299,"JMAES_ML7","High Maternal Absence, Improving SES",7,"Class 1","Anchor branch","Class from the selected anchor branch for this model-window.","stable-high-adversity-red-alt","#D73027"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",2,"Class 2","Class 2",363,"JMAES_ML8","High Maternal Absence, Low SES",8,"Class 2","Anchor branch","Class from the selected anchor branch for this model-window.","chronic-dual-adversity-burgundy-alt","#7F0000"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",2,"Class 2","Rising Maternal Absence, Improving SES",638,"JMAES_ML1","Low Maternal Absence, Higher SES",1,"Class 6","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-gray-alt","#D9D9D9"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",3,"Class 3","High Maternal Absence, Improving SES",894,"JMAES_ML2","Low Maternal Absence, Improving SES",2,"Class 7","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","improvement-teal-alt","#009E73"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",5,"Class 5","Low Maternal Absence, Improving SES",953,"JMAES_ML3","Low Maternal Absence, Low SES",3,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-moderate-rose-alt","#CC79A7"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",1,"Class 1","High Maternal Absence, Low SES",270,"JMAES_ML5","Rising Maternal Absence, Improving SES",5,"Class 5","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","rising-adversity-coral-alt","#F46D43"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",4,"Class 4","Low Maternal Absence, Higher SES",480,"JMAES_ML6","High Maternal Absence, Higher SES",6,"Class 8","Collapsed mapping","The >=2-complete branch merges higher-adversity maternal-absence families, so these classes are mapped to the nearest retained harmonized family for cross-scenario comparison.","persistent-high-adversity-plum-alt","#AA3377"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",6,"Class 6","Low Maternal Absence, Low SES",484,"JMAES_ML8","High Maternal Absence, Low SES",8,"Class 2","Collapsed mapping","The >=2-complete branch merges higher-adversity maternal-absence families, so these classes are mapped to the nearest retained harmonized family for cross-scenario comparison.","chronic-dual-adversity-burgundy-alt","#7F0000"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",3,"Class 3","Class 3",571,"JMAES_ML1","Low Maternal Absence, Higher SES",1,"Class 6","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-gray-alt","#D9D9D9"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",1,"Class 1","Class 1",806,"JMAES_ML2","Low Maternal Absence, Improving SES",2,"Class 7","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","improvement-teal-alt","#009E73"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",6,"Class 6","Class 6",823,"JMAES_ML3","Low Maternal Absence, Low SES",3,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-moderate-rose-alt","#CC79A7"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",2,"Class 2","Class 2",184,"JMAES_ML4","Decreasing Maternal Absence, Low SES",4,"Class 3","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","partial-improvement-blue-alt","#0072B2"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",4,"Class 4","Class 4",236,"JMAES_ML5","Rising Maternal Absence, Improving SES",5,"Class 5","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","rising-adversity-coral-alt","#F46D43"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",7,"Class 7","Class 7",288,"JMAES_ML6","High Maternal Absence, Higher SES",6,"Class 8","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-high-adversity-plum-alt","#AA3377"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",5,"Class 5","Class 5",265,"JMAES_ML7","High Maternal Absence, Improving SES",7,"Class 1","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-high-adversity-red-alt","#D73027"
"JMAES","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",8,"Class 8","Class 8",305,"JMAES_ML8","High Maternal Absence, Low SES",8,"Class 2","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","chronic-dual-adversity-burgundy-alt","#7F0000"
"JPA","time_0_5","Early childhood (0-5 years)","Unrestricted",3,"Class 3","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)",798,"JPA_EC1","Two-Parent, Stable Presence",1,"Class 3","Anchor branch","Class from the selected anchor branch for this model-window.","stable-gray","#D9D9D9"
"JPA","time_0_5","Early childhood (0-5 years)","Unrestricted",2,"Class 2","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)",893,"JPA_EC2","Paternal Absence, Stable High",2,"Class 2","Anchor branch","Class from the selected anchor branch for this model-window.","persistent-high-adversity-plum","#AA3377"
"JPA","time_0_5","Early childhood (0-5 years)","Unrestricted",4,"Class 4","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)",183,"JPA_EC3","Maternal Absence Transition",3,"Class 4","Anchor branch","Class from the selected anchor branch for this model-window.","onset-orange-red","#D55E00"
"JPA","time_0_5","Early childhood (0-5 years)","Unrestricted",1,"Class 1","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)",306,"JPA_EC4","Dual Absence, Stable High",4,"Class 1","Anchor branch","Class from the selected anchor branch for this model-window.","chronic-adversity-burgundy","#7F0000"
"JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",3,"Class 3","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)",724,"JPA_EC1","Two-Parent, Stable Presence",1,"Class 3","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-gray","#D9D9D9"
"JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",2,"Class 2","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)",808,"JPA_EC2","Paternal Absence, Stable High",2,"Class 2","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-high-adversity-plum","#AA3377"
"JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",1,"Class 1","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)",166,"JPA_EC3","Maternal Absence Transition",3,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-orange-red","#D55E00"
"JPA","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 complete occasions)",4,"Class 4","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)",259,"JPA_EC4","Dual Absence, Stable High",4,"Class 1","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","chronic-adversity-burgundy","#7F0000"
"JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",1,"Class 1","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)",651,"JPA_EC1","Two-Parent, Stable Presence",1,"Class 3","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-gray","#D9D9D9"
"JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",3,"Class 3","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)",719,"JPA_EC2","Paternal Absence, Stable High",2,"Class 2","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-high-adversity-plum","#AA3377"
"JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",2,"Class 2","Stable Medium — Mother: Stable Low (0–5y); Father: Stable High (0–5y)",146,"JPA_EC3","Maternal Absence Transition",3,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-orange-red","#D55E00"
"JPA","time_0_5","Early childhood (0-5 years)","Stricter restricted (at least 3 complete occasions)",4,"Class 4","Concave Trough Early — Mother: Shift Up Mid (1–5y); Father: Shift Down Early (0–3y)",221,"JPA_EC4","Dual Absence, Stable High",4,"Class 1","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","chronic-adversity-burgundy","#7F0000"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",6,"Class 6","Class 6",776,"JPA_ML1","Two-Parent, Stable Presence",1,"Class 6","Anchor branch","Class from the selected anchor branch for this model-window.","stable-gray","#D9D9D9"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",4,"Class 4","Class 4",153,"JPA_ML2","Declining Return to Two-Parent",2,"Class 4","Anchor branch","Class from the selected anchor branch for this model-window.","improvement-teal","#009E73"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",7,"Class 7","Class 7",824,"JPA_ML3","Paternal Absence, Stable High",3,"Class 7","Anchor branch","Class from the selected anchor branch for this model-window.","persistent-high-adversity-plum","#AA3377"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",1,"Class 1","Class 1",173,"JPA_ML4","Maternal Absence Transition",4,"Class 1","Anchor branch","Class from the selected anchor branch for this model-window.","onset-orange-red","#D55E00"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",2,"Class 2","Class 2",204,"JPA_ML5","Rising Paternal Absence",5,"Class 2","Anchor branch","Class from the selected anchor branch for this model-window.","onset-coral","#F46D43"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",5,"Class 5","Class 5",251,"JPA_ML6","Late Dual Absence",6,"Class 5","Anchor branch","Class from the selected anchor branch for this model-window.","stable-high-adversity-red","#D73027"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",3,"Class 3","Class 3",297,"JPA_ML7","Dual Absence, Stable High",7,"Class 3","Anchor branch","Class from the selected anchor branch for this model-window.","chronic-adversity-burgundy","#7F0000"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",1,"Class 1","Class 1",753,"JPA_ML1","Two-Parent, Stable Presence",1,"Class 6","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-gray","#D9D9D9"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",6,"Class 6","Class 6",151,"JPA_ML2","Declining Return to Two-Parent",2,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","improvement-teal","#009E73"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",5,"Class 5","Class 5",782,"JPA_ML3","Paternal Absence, Stable High",3,"Class 7","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-high-adversity-plum","#AA3377"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",4,"Class 4","Class 4",165,"JPA_ML4","Maternal Absence Transition",4,"Class 1","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-orange-red","#D55E00"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",3,"Class 3","Class 3",202,"JPA_ML5","Rising Paternal Absence",5,"Class 2","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-coral","#F46D43"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",7,"Class 7","Class 7",245,"JPA_ML6","Late Dual Absence",6,"Class 5","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-high-adversity-red","#D73027"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 complete occasions)",2,"Class 2","Class 2",284,"JPA_ML7","Dual Absence, Stable High",7,"Class 3","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","chronic-adversity-burgundy","#7F0000"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",4,"Class 4","Class 4",716,"JPA_ML1","Two-Parent, Stable Presence",1,"Class 6","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-gray","#D9D9D9"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",2,"Class 2","Class 2",145,"JPA_ML2","Declining Return to Two-Parent",2,"Class 4","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","improvement-teal","#009E73"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",3,"Class 3","Class 3",752,"JPA_ML3","Paternal Absence, Stable High",3,"Class 7","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","persistent-high-adversity-plum","#AA3377"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",7,"Class 7","Class 7",161,"JPA_ML4","Maternal Absence Transition",4,"Class 1","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-orange-red","#D55E00"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",5,"Class 5","Class 5",199,"JPA_ML5","Rising Paternal Absence",5,"Class 2","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","onset-coral","#F46D43"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",6,"Class 6","Class 6",238,"JPA_ML6","Late Dual Absence",6,"Class 5","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","stable-high-adversity-red","#D73027"
"JPA","time_6_12","Middle-late childhood (6-12 years)","Stricter restricted (at least 3 complete occasions)",1,"Class 1","Class 1",262,"JPA_ML7","Dual Absence, Stable High",7,"Class 3","Direct mapping","Branch-specific class matches the retained family without collapsing distinct patterns.","chronic-adversity-burgundy","#7F0000"
