"Spec","Window","WindowLabel","Scenario","LatentClass","Class","OriginalDisplay_Label","Harmonized_Family_ID","Display_Label","Adversity_Order","Mapping_Status","Mapping_Basis","NClass","Color_Name","Color_Hex"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",6,"Class 6","Minimal Low SES","UHSES_ML2","Minimal Low SES",2,"Anchor branch","The unrestricted later-childhood SES branch recovers the full seven-family set and anchors the harmonized mapping.",766,"mild-adversity-ochre-alt","#C2A14A"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",4,"Class 4","Early Improvement from Mild Low SES","UHSES_ML3","Early Improvement from Mild Low SES",3,"Anchor branch","The unrestricted later-childhood SES branch recovers the full seven-family set and anchors the harmonized mapping.",409,"early-improvement-green-alt","#4DAF4A"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",2,"Class 2","Improving from More Severe Low SES","UHSES_ML4","Improving from More Severe Low SES",4,"Anchor branch","The unrestricted later-childhood SES branch recovers the full seven-family set and anchors the harmonized mapping.",417,"partial-improvement-blue-alt","#0072B2"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",3,"Class 3","Persistent Moderate Low SES","UHSES_ML5","Persistent Moderate Low SES",5,"Anchor branch","The unrestricted later-childhood SES branch recovers the full seven-family set and anchors the harmonized mapping.",321,"persistent-moderate-rose-alt","#CC79A7"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",1,"Class 1","Late Improvement from Chronic Low SES","UHSES_ML6","Late Improvement from Chronic Low SES",6,"Anchor branch","The unrestricted later-childhood SES branch recovers the full seven-family set and anchors the harmonized mapping.",446,"delayed-improvement-olive-alt","#66A61E"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",5,"Class 5","Chronic Low SES","UHSES_ML7","Chronic Low SES",7,"Anchor branch","The unrestricted later-childhood SES branch recovers the full seven-family set and anchors the harmonized mapping.",1577,"chronic-adversity-burgundy-alt","#7F0000"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",7,"Class 7","Stable Higher SES","UHSES_ML1","Stable Higher SES",1,"Direct mapping","The >=2-wave SES branch reproduces the same seven later-childhood SES families.",632,"stable-gray-alt","#D9D9D9"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",6,"Class 6","Minimal Low SES","UHSES_ML2","Minimal Low SES",2,"Direct mapping","The >=2-wave SES branch reproduces the same seven later-childhood SES families.",672,"mild-adversity-ochre-alt","#C2A14A"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",4,"Class 4","Early Improvement from Mild Low SES","UHSES_ML3","Early Improvement from Mild Low SES",3,"Direct mapping","The >=2-wave SES branch reproduces the same seven later-childhood SES families.",407,"early-improvement-green-alt","#4DAF4A"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",2,"Class 2","Improving from More Severe Low SES","UHSES_ML4","Improving from More Severe Low SES",4,"Direct mapping","The >=2-wave SES branch reproduces the same seven later-childhood SES families.",417,"partial-improvement-blue-alt","#0072B2"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",3,"Class 3","Persistent Moderate Low SES","UHSES_ML5","Persistent Moderate Low SES",5,"Direct mapping","The >=2-wave SES branch reproduces the same seven later-childhood SES families.",322,"persistent-moderate-rose-alt","#CC79A7"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",1,"Class 1","Late Improvement from Chronic Low SES","UHSES_ML6","Late Improvement from Chronic Low SES",6,"Direct mapping","The >=2-wave SES branch reproduces the same seven later-childhood SES families.",445,"delayed-improvement-olive-alt","#66A61E"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",5,"Class 5","Chronic Low SES","UHSES_ML7","Chronic Low SES",7,"Direct mapping","The >=2-wave SES branch reproduces the same seven later-childhood SES families.",1381,"chronic-adversity-burgundy-alt","#7F0000"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",6,"Class 6","Stable Higher SES","UHSES_ML1","Stable Higher SES",1,"Direct mapping","The >=3-wave SES branch now reproduces the same seven later-childhood SES families after the completed top-up fits.",591,"stable-gray-alt","#D9D9D9"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",1,"Class 1","Minimal Low SES","UHSES_ML2","Minimal Low SES",2,"Direct mapping","The >=3-wave SES branch now reproduces the same seven later-childhood SES families after the completed top-up fits.",614,"mild-adversity-ochre-alt","#C2A14A"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",4,"Class 4","Early Improvement from Mild Low SES","UHSES_ML3","Early Improvement from Mild Low SES",3,"Direct mapping","The >=3-wave SES branch now reproduces the same seven later-childhood SES families after the completed top-up fits.",399,"early-improvement-green-alt","#4DAF4A"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",3,"Class 3","Improving from More Severe Low SES","UHSES_ML4","Improving from More Severe Low SES",4,"Direct mapping","The >=3-wave SES branch now reproduces the same seven later-childhood SES families after the completed top-up fits.",393,"partial-improvement-blue-alt","#0072B2"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",2,"Class 2","Persistent Moderate Low SES","UHSES_ML5","Persistent Moderate Low SES",5,"Direct mapping","The >=3-wave SES branch now reproduces the same seven later-childhood SES families after the completed top-up fits.",308,"persistent-moderate-rose-alt","#CC79A7"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",5,"Class 5","Late Improvement from Chronic Low SES","UHSES_ML6","Late Improvement from Chronic Low SES",6,"Direct mapping","The >=3-wave SES branch now reproduces the same seven later-childhood SES families after the completed top-up fits.",428,"delayed-improvement-olive-alt","#66A61E"
"UHSES","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",7,"Class 7","Chronic Low SES","UHSES_ML7","Chronic Low SES",7,"Direct mapping","The >=3-wave SES branch now reproduces the same seven later-childhood SES families after the completed top-up fits.",1255,"chronic-adversity-burgundy-alt","#7F0000"
"ULWOF","time_0_5","Early childhood (0-5 years)","Unrestricted",2,"Class 2","Stable Low Paternal Absence","ULWOF_EC1","Stable Low Paternal Absence",1,"Direct mapping","The unrestricted paternal-absence solution recovers the stable-low, late-onset, and stable-high families but does not separate a declining class.",1324,"stable-gray-alt","#D9D9D9"
"ULWOF","time_0_5","Early childhood (0-5 years)","Unrestricted",1,"Class 1","Late-Onset Paternal Absence","ULWOF_EC3","Late-Onset Paternal Absence",3,"Direct mapping","The unrestricted paternal-absence solution recovers the stable-low, late-onset, and stable-high families but does not separate a declining class.",146,"onset-coral-alt","#F46D43"
"ULWOF","time_0_5","Early childhood (0-5 years)","Unrestricted",3,"Class 3","Stable High Paternal Absence","ULWOF_EC4","Stable High Paternal Absence",4,"Direct mapping","The unrestricted paternal-absence solution recovers the stable-low, late-onset, and stable-high families but does not separate a declining class.",908,"stable-high-adversity-red-alt","#D73027"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",4,"Class 4","Stable Low Paternal Absence","ULWOF_EC1","Stable Low Paternal Absence",1,"Direct mapping","The >=2-wave paternal-absence branch recovers the same four early-childhood families as the stricter anchor branch.",1113,"stable-gray-alt","#D9D9D9"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",2,"Class 2","Declining Paternal Absence","ULWOF_EC2","Declining Paternal Absence",2,"Direct mapping","The >=2-wave paternal-absence branch recovers the same four early-childhood families as the stricter anchor branch.",114,"improvement-teal-alt","#009E73"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",1,"Class 1","Late-Onset Paternal Absence","ULWOF_EC3","Late-Onset Paternal Absence",3,"Direct mapping","The >=2-wave paternal-absence branch recovers the same four early-childhood families as the stricter anchor branch.",154,"onset-coral-alt","#F46D43"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",3,"Class 3","Stable High Paternal Absence","ULWOF_EC4","Stable High Paternal Absence",4,"Direct mapping","The >=2-wave paternal-absence branch recovers the same four early-childhood families as the stricter anchor branch.",761,"stable-high-adversity-red-alt","#D73027"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",4,"Class 4","Stable Low Paternal Absence","ULWOF_EC1","Stable Low Paternal Absence",1,"Anchor branch","The >=3-wave paternal-absence branch is the cleanest retained four-class early-childhood solution and anchors the family set.",981,"stable-gray-alt","#D9D9D9"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",2,"Class 2","Declining Paternal Absence","ULWOF_EC2","Declining Paternal Absence",2,"Anchor branch","The >=3-wave paternal-absence branch is the cleanest retained four-class early-childhood solution and anchors the family set.",114,"improvement-teal-alt","#009E73"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",1,"Class 1","Late-Onset Paternal Absence","ULWOF_EC3","Late-Onset Paternal Absence",3,"Anchor branch","The >=3-wave paternal-absence branch is the cleanest retained four-class early-childhood solution and anchors the family set.",154,"onset-coral-alt","#F46D43"
"ULWOF","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",3,"Class 3","Stable High Paternal Absence","ULWOF_EC4","Stable High Paternal Absence",4,"Anchor branch","The >=3-wave paternal-absence branch is the cleanest retained four-class early-childhood solution and anchors the family set.",663,"stable-high-adversity-red-alt","#D73027"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",1,"Class 1","Stable Low Paternal Absence","ULWOF_ML1","Stable Low Paternal Absence",1,"Anchor branch","All three later-childhood paternal-absence branches recover the same four families, so the unrestricted branch anchors the mapping.",1561,"stable-gray-alt","#D9D9D9"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",4,"Class 4","Declining Paternal Absence","ULWOF_ML2","Declining Paternal Absence",2,"Anchor branch","All three later-childhood paternal-absence branches recover the same four families, so the unrestricted branch anchors the mapping.",276,"improvement-teal-alt","#009E73"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",3,"Class 3","Rising Paternal Absence","ULWOF_ML3","Rising Paternal Absence",3,"Anchor branch","All three later-childhood paternal-absence branches recover the same four families, so the unrestricted branch anchors the mapping.",215,"onset-orange-red-alt","#D55E00"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",2,"Class 2","Stable High Paternal Absence","ULWOF_ML4","Stable High Paternal Absence",4,"Anchor branch","All three later-childhood paternal-absence branches recover the same four families, so the unrestricted branch anchors the mapping.",972,"stable-high-adversity-red-alt","#D73027"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",2,"Class 2","Stable Low Paternal Absence","ULWOF_ML1","Stable Low Paternal Absence",1,"Direct mapping","The >=2-wave paternal-absence branch reproduces the same four later-childhood families.",1502,"stable-gray-alt","#D9D9D9"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",4,"Class 4","Declining Paternal Absence","ULWOF_ML2","Declining Paternal Absence",2,"Direct mapping","The >=2-wave paternal-absence branch reproduces the same four later-childhood families.",276,"improvement-teal-alt","#009E73"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",1,"Class 1","Rising Paternal Absence","ULWOF_ML3","Rising Paternal Absence",3,"Direct mapping","The >=2-wave paternal-absence branch reproduces the same four later-childhood families.",215,"onset-orange-red-alt","#D55E00"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",3,"Class 3","Stable High Paternal Absence","ULWOF_ML4","Stable High Paternal Absence",4,"Direct mapping","The >=2-wave paternal-absence branch reproduces the same four later-childhood families.",938,"stable-high-adversity-red-alt","#D73027"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",2,"Class 2","Stable Low Paternal Absence","ULWOF_ML1","Stable Low Paternal Absence",1,"Direct mapping","The >=3-wave paternal-absence branch reproduces the same four later-childhood families.",1431,"stable-gray-alt","#D9D9D9"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",4,"Class 4","Declining Paternal Absence","ULWOF_ML2","Declining Paternal Absence",2,"Direct mapping","The >=3-wave paternal-absence branch reproduces the same four later-childhood families.",276,"improvement-teal-alt","#009E73"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",1,"Class 1","Rising Paternal Absence","ULWOF_ML3","Rising Paternal Absence",3,"Direct mapping","The >=3-wave paternal-absence branch reproduces the same four later-childhood families.",212,"onset-orange-red-alt","#D55E00"
"ULWOF","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",3,"Class 3","Stable High Paternal Absence","ULWOF_ML4","Stable High Paternal Absence",4,"Direct mapping","The >=3-wave paternal-absence branch reproduces the same four later-childhood families.",889,"stable-high-adversity-red-alt","#D73027"
"ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted",2,"Class 2","Stable Low Maternal Absence","ULWOM_EC1","Stable Low Maternal Absence",1,"Anchor branch","The unrestricted early-childhood maternal-absence solution supplies the full retained family set.",409,"stable-gray-alt","#D9D9D9"
"ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted",1,"Class 1","Early Peak, Declining Maternal Absence","ULWOM_EC2","Early Peak, Declining Maternal Absence",2,"Anchor branch","The unrestricted early-childhood maternal-absence solution supplies the full retained family set.",475,"partial-improvement-blue-alt","#0072B2"
"ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted",4,"Class 4","Late-Onset Maternal Absence","ULWOM_EC3","Late-Onset Maternal Absence",3,"Anchor branch","The unrestricted early-childhood maternal-absence solution supplies the full retained family set.",274,"onset-coral-alt","#F46D43"
"ULWOM","time_0_5","Early childhood (0-5 years)","Unrestricted",3,"Class 3","Stable High Maternal Absence","ULWOM_EC4","Stable High Maternal Absence",4,"Anchor branch","The unrestricted early-childhood maternal-absence solution supplies the full retained family set.",2793,"stable-high-adversity-red-alt","#D73027"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",4,"Class 4","Stable Low Maternal Absence","ULWOM_EC1","Stable Low Maternal Absence",1,"Direct mapping","The >=2-wave maternal-absence branch reproduces the same four families with different class numbering.",398,"stable-gray-alt","#D9D9D9"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",2,"Class 2","Early Peak, Declining Maternal Absence","ULWOM_EC2","Early Peak, Declining Maternal Absence",2,"Direct mapping","The >=2-wave maternal-absence branch reproduces the same four families with different class numbering.",416,"partial-improvement-blue-alt","#0072B2"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",1,"Class 1","Late-Onset Maternal Absence","ULWOM_EC3","Late-Onset Maternal Absence",3,"Direct mapping","The >=2-wave maternal-absence branch reproduces the same four families with different class numbering.",274,"onset-coral-alt","#F46D43"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 2 waves)",3,"Class 3","Stable High Maternal Absence","ULWOM_EC4","Stable High Maternal Absence",4,"Direct mapping","The >=2-wave maternal-absence branch reproduces the same four families with different class numbering.",2586,"stable-high-adversity-red-alt","#D73027"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",3,"Class 3","Stable Low Maternal Absence","ULWOM_EC1","Stable Low Maternal Absence",1,"Direct mapping","The >=3-wave maternal-absence branch reproduces the same four families with permuted class numbering.",387,"stable-gray-alt","#D9D9D9"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",1,"Class 1","Early Peak, Declining Maternal Absence","ULWOM_EC2","Early Peak, Declining Maternal Absence",2,"Direct mapping","The >=3-wave maternal-absence branch reproduces the same four families with permuted class numbering.",344,"partial-improvement-blue-alt","#0072B2"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",4,"Class 4","Late-Onset Maternal Absence","ULWOM_EC3","Late-Onset Maternal Absence",3,"Direct mapping","The >=3-wave maternal-absence branch reproduces the same four families with permuted class numbering.",260,"onset-coral-alt","#F46D43"
"ULWOM","time_0_5","Early childhood (0-5 years)","Restricted (at least 3 waves)",2,"Class 2","Stable High Maternal Absence","ULWOM_EC4","Stable High Maternal Absence",4,"Direct mapping","The >=3-wave maternal-absence branch reproduces the same four families with permuted class numbering.",2370,"stable-high-adversity-red-alt","#D73027"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",3,"Class 3","Stable Low Maternal Absence","ULWOM_ML1","Stable Low Maternal Absence",1,"Anchor branch","The unrestricted middle-late-childhood maternal-absence solution supplies the full retained family set.",945,"stable-gray-alt","#D9D9D9"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",2,"Class 2","Declining Maternal Absence","ULWOM_ML2","Declining Maternal Absence",2,"Anchor branch","The unrestricted middle-late-childhood maternal-absence solution supplies the full retained family set.",249,"improvement-teal-alt","#009E73"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",1,"Class 1","Late-Onset Maternal Absence","ULWOM_ML3","Late-Onset Maternal Absence",3,"Anchor branch","The unrestricted middle-late-childhood maternal-absence solution supplies the full retained family set.",361,"onset-coral-alt","#F46D43"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",4,"Class 4","Mid-Childhood Onset Maternal Absence","ULWOM_ML4","Mid-Childhood Onset Maternal Absence",4,"Anchor branch","The unrestricted middle-late-childhood maternal-absence solution supplies the full retained family set.",264,"onset-orange-red-alt","#D55E00"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Unrestricted",5,"Class 5","Stable High Maternal Absence","ULWOM_ML5","Stable High Maternal Absence",5,"Anchor branch","The unrestricted middle-late-childhood maternal-absence solution supplies the full retained family set.",2881,"stable-high-adversity-red-alt","#D73027"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",3,"Class 3","Stable Low Maternal Absence","ULWOM_ML1","Stable Low Maternal Absence",1,"Direct mapping","The >=2-wave branch reproduces the same five maternal-absence families.",905,"stable-gray-alt","#D9D9D9"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",2,"Class 2","Declining Maternal Absence","ULWOM_ML2","Declining Maternal Absence",2,"Direct mapping","The >=2-wave branch reproduces the same five maternal-absence families.",249,"improvement-teal-alt","#009E73"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",1,"Class 1","Late-Onset Maternal Absence","ULWOM_ML3","Late-Onset Maternal Absence",3,"Direct mapping","The >=2-wave branch reproduces the same five maternal-absence families.",361,"onset-coral-alt","#F46D43"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",4,"Class 4","Mid-Childhood Onset Maternal Absence","ULWOM_ML4","Mid-Childhood Onset Maternal Absence",4,"Direct mapping","The >=2-wave branch reproduces the same five maternal-absence families.",264,"onset-orange-red-alt","#D55E00"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 2 waves)",5,"Class 5","Stable High Maternal Absence","ULWOM_ML5","Stable High Maternal Absence",5,"Direct mapping","The >=2-wave branch reproduces the same five maternal-absence families.",2763,"stable-high-adversity-red-alt","#D73027"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",4,"Class 4","Stable Low Maternal Absence","ULWOM_ML1","Stable Low Maternal Absence",1,"Direct mapping","The >=3-wave branch reproduces the same five maternal-absence families.",864,"stable-gray-alt","#D9D9D9"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",2,"Class 2","Declining Maternal Absence","ULWOM_ML2","Declining Maternal Absence",2,"Direct mapping","The >=3-wave branch reproduces the same five maternal-absence families.",249,"improvement-teal-alt","#009E73"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",3,"Class 3","Late-Onset Maternal Absence","ULWOM_ML3","Late-Onset Maternal Absence",3,"Direct mapping","The >=3-wave branch reproduces the same five maternal-absence families.",355,"onset-coral-alt","#F46D43"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",1,"Class 1","Mid-Childhood Onset Maternal Absence","ULWOM_ML4","Mid-Childhood Onset Maternal Absence",4,"Direct mapping","The >=3-wave branch reproduces the same five maternal-absence families.",271,"onset-orange-red-alt","#D55E00"
"ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)",5,"Class 5","Stable High Maternal Absence","ULWOM_ML5","Stable High Maternal Absence",5,"Direct mapping","The >=3-wave branch reproduces the same five maternal-absence families.",2630,"stable-high-adversity-red-alt","#D73027"
