adjustment_set,adjustment_label,tier,hypothesis_id,window,scenario,reference,comparator,contrast,contrast_direction,expected_direction,mediator_block_id,mediator_block,mediators_in_block,n_mediators,n_patterns,effect,n_subjects,n_pseudo_rows,interval_method,rd,ci_low,ci_high,rd_ci,within_variance,between_variance,total_variance,rubin_df,m_imputations,percent_mediated,percent_mediated_display,interpretation_flag
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,-0.001596344735383845,-,-,-0.002,-,1.1955194384709944e-6,-,-,20,-,-,negative; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Low Maternal Absence, Low SES","Low Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total indirect effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,5.736193226077311e-4,-,-,0.001,-,4.6442848646809644e-8,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Block direct effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-0.005050312150056612,-0.04978157944910057,0.03968095514898734,"-0.005 (-0.050, 0.040)",5.202062065301241e-4,6.285172487749678e-7,5.208661496413379e-4,11835670.594700776,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-0.0076339874166016465,-0.05002539230891108,0.03475741747570779,"-0.008 (-0.050, 0.035)",4.6716639013655347e-4,6.025339577258307e-7,4.677990507921656e-4,10387968.387812462,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total indirect effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-0.0025836752665450297,-0.009902822978069437,0.004735472444979376,"-0.003 (-0.010, 0.005)",1.393330172197489e-5,1.1334588281586084e-8,1.3945203039670556e-5,Inf,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Block direct effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,-0.0030212882824384906,-,-,-0.003,-,7.1514431844375175e-07,-,-,20,-,-,negative; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,-0.007366133774157732,-,-,-0.007,-,6.999936358503631e-7,-,-,20,-,-,negative; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES","Rising Maternal Absence, Improving SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total indirect effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,-0.004344845491719235,-,-,-0.004,-,2.1748443491898485e-8,-,-,20,-,-,negative; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Block direct effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-0.002660373875747128,-0.029878921864992348,0.02455817411349809,"-0.003 (-0.030, 0.025)",1.9102643787939974e-4,1.7405796000072193e-6,1.9285404645940732e-4,211565.44497464568,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-7.102270697881624e-4,-0.029742147682898297,0.028321693543321973,"-0.001 (-0.030, 0.028)",2.175291168565406e-4,1.788854113465441e-6,2.1940741367567932e-4,259255.36421426205,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total indirect effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.0019501468059589626,-0.003715547264403844,0.007615840876321769,"0.002 (-0.004, 0.008)",8.324782723671482e-6,2.9929460856016404e-8,8.356208657570298e-6,1343370.3774259621,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Block direct effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,-0.001446588192052341,-,-,-0.001,-,2.1064713379615147e-6,-,-,20,-,-,negative; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,4.822154785343164e-4,-,-,0.000,-,2.2622023189763294e-6,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-EC,0-5 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Improving SES","Rising Maternal Absence, Low SES","Rising Maternal Absence, Low SES vs Low Maternal Absence, Improving SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total indirect effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.0019288036705866559,-,-,0.002,-,4.104801695067011e-8,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Block direct effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.011602449890719943,-0.023282350155273163,0.04648724993671305,"0.012 (-0.023, 0.046)",3.145245624724454e-4,2.15894671732355e-6,3.1679145652563514e-4,371054.8187513391,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.021574586594622133,-0.022534024488517265,0.06568319767776153,"0.022 (-0.023, 0.066)",5.033890986558702e-4,2.9284365049630075e-6,5.064639569860814e-4,515466.52437627694,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total indirect effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.009972136703902183,-0.004419917458937092,0.024364190866741457,"0.010 (-0.004, 0.024)",5.3787958355474506e-5,1.2565611820936595e-7,5.391989727959434e-5,3173261.3097541053,20,0.4622168151480559,46.2%,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Block direct effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.011492278446258452,-,-,0.011,-,2.457464111376488e-6,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.02157872453230775,-,-,0.022,-,3.565812429367338e-6,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","Decreasing Maternal Absence, Low SES","Decreasing Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total indirect effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.010086446086049292,-,-,0.010,-,1.9807978987330776e-7,-,-,20,0.46742549917386567,46.7%,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Improving SES","High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Block direct effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.025978513873356285,-0.012366836000208936,0.0643238637469215,"0.026 (-0.012, 0.064)",3.804940203902826e-4,2.158697934356663e-6,3.827606532213571e-4,541808.5137485382,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Improving SES","High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.02340522533339416,-0.013578278926486567,0.06038872959327489,"0.023 (-0.014, 0.060)",3.5417965834115284e-4,1.7870628755242282e-6,3.560560743604533e-4,684119.7614952946,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Improving SES","High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total indirect effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",-0.00257328853996212,-0.010539559515477834,0.005392982435553594,"-0.003 (-0.011, 0.005)",1.6433241366601988e-5,8.271405978797585e-8,1.6520091129379363e-5,687450.1407475952,20,-,-,negative; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Improving SES","High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Block direct effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.023478750328003267,-,-,0.023,-,2.2737495376471166e-6,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Improving SES","High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.02154072441388555,-,-,0.022,-,2.023778513724473e-6,-,-,20,-,-,positive; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Improving SES","High Maternal Absence, Improving SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Total indirect effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,-0.0019380259141177116,-,-,-0.002,-,8.969658614369784e-8,-,-,20,-,-,negative; interval unavailable
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Block direct effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.04347362505777253,-0.007944326878513,0.09489157699405806,"0.043 (-0.008, 0.095)",6.852495763220611e-4,2.836581971445865e-6,6.882279873920793e-4,1014492.8380335995,20,-,-,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.06429107130768645,0.0012008862675799425,0.12738125634779296,"0.064 (0.001, 0.127)",0.001032825951389776,3.175340418880732e-6,0.0010361600588296009,1835050.8975939946,20,-,-,positive; interval excludes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,base_pathway_block,Base pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse,3,8,Total indirect effect,1365,9238,"Rubin pooled over 20 imputations; cluster-robust coefficient simulation, 120 sequential joint-block draws",0.020817446249913916,-1.7339990673920225e-4,0.041808292406567034,"0.021 (-0.000, 0.042)",1.1456640582351843e-4,1.2728694756009658e-7,1.1470005711845653e-4,13993763.418751905,20,0.3237999589442997,32.4%,positive; interval includes 0
base,Base causal mediation estimand with imputed maternal baseline,Primary,TE-JMAES-H1-MLC,6-12 years,Stricter restricted (>=3 complete occasions),"Low Maternal Absence, Higher SES","High Maternal Absence, Low SES","High Maternal Absence, Low SES vs Low Maternal Absence, Higher SES",Comparator minus reference,higher,expanded_pathway_block,Expanded pathway block,Food insecurity; Violence exposure; Ever had sexual intercourse; Alcohol use; Lack of government grant receipt; Low social support; School disengagement,7,128,Block direct effect,1365,9238,Rubin pooled over 20 imputations; Point estimate only; interval simulation not run for this block,0.045629213538570766,-,-,0.046,-,2.737226581193626e-6,-,-,20,-,-,positive; interval unavailable
